sentence	aspect	polarity
The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).	laptop general	positive
The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).	laptop usability	negative
Other than that its a great performing machine and well meets all my needs and more.	laptop general	positive
Other than that its a great performing machine and well meets all my needs and more.	laptop operation performance	positive
Great product by Apple with the new great looking design.	company general	positive
Great product by Apple with the new great looking design.	laptop design features	positive
Great product by Apple with the new great looking design.	laptop general	positive
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	hard disc quality	negative
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	laptop quality	negative
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	motherboard quality	negative
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	optical drives quality	negative
I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap.	support quality	negative
It was slow, locked up, and also had hardware replaced after only 2 months!	hardware quality	negative
It was slow, locked up, and also had hardware replaced after only 2 months!	laptop operation performance	negative
So, buyers beware!	laptop general	negative
It is made better, thicker, and all out tough!	laptop design features	positive
It is made better, thicker, and all out tough!	laptop quality	positive
I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!	laptop quality	positive
I love the easy to see screen, and It works well for work, persoal or just play.	display usability	positive
I love the easy to see screen, and It works well for work, persoal or just play.	laptop miscellaneous	positive
I tell everyone I see out looking to get this or another Toshiba.	company general	positive
I tell everyone I see out looking to get this or another Toshiba.	laptop general	positive
My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!	company general	positive
I just love this lap top, I just wish it were all silver or they had all black.	laptop design features	neutral
I just love this lap top, I just wish it were all silver or they had all black.	laptop general	positive
That is my only complaint!	laptop design features	negative
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!	laptop general	positive
LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!	laptop price	positive
WOULD PAY MORE FOR IT IF I HAD TOO!	laptop general	positive
WOULD PAY MORE FOR IT IF I HAD TOO!	laptop price	positive
I recently purchased the mini and absolutely love it!	laptop general	positive
It meets all my needs for work and pleasure while traveling.	laptop miscellaneous	positive
It meets all my needs for work and pleasure while traveling.	laptop portability	positive
I am totally satisfied with my little toshie!	laptop general	positive
From the moment I opened the box to the present it has been a great joy.	laptop general	positive
It is always reliable, never bugged and responds well.	laptop operation performance	positive
It is always reliable, never bugged and responds well.	laptop quality	positive
I love the operating system and the preloaded software.	os general	positive
I love the operating system and the preloaded software.	software general	positive
This machine delivers.	laptop operation performance	positive
It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.	laptop design features	positive
It is a bit heavy.	laptop design features	negative
It would be a load on long trips where a lot of walking is required.	laptop portability	negative
Had some trouble finding a case that it would fit in.	laptop design features	negative
This is an over-sized, 18-inch laptop.	laptop design features	negative
It wouldn't fit in most 17-inch bags.	laptop portability	negative
I was disappointed when I realized that the keyboard doesn't light up on this model.	keyboard design features	negative
It also does not have bluetooth.	laptop design features	negative
You'll need to upgrade and pay a little more for them.	laptop design features	negative
I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.	laptop design features	negative
Overall, still a very nice machine.	laptop general	positive
Boots up fast and runs great!	laptop operation performance	positive
I'm pleased.	laptop general	positive
The acer one compuer is a great computer.	laptop general	positive
I didn't want to buy a generic brand computer but it is really nice.	company general	neutral
I didn't want to buy a generic brand computer but it is really nice.	laptop general	positive
Its fast, has High definition quality in the videos.	display quality	positive
Its fast, has High definition quality in the videos.	laptop operation performance	positive
The pictures are clear as can be.	display quality	positive
If I had to buy another computer, I would most definetly buy an acer one computer.	company general	positive
If I had to buy another computer, I would most definetly buy an acer one computer.	laptop general	positive
Heck, if I had enough ' money, I would but it as a gift for someone.	laptop general	positive
Im glad that it has such great features in it.	laptop design features	positive
It also came with a built it web cam which is great because I can see an communicate with my family members back home.	laptop design features	positive
Clear picture on it and everything.	display quality	positive
The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.	laptop general	positive
The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.	laptop operation performance	negative
The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.	display design features	positive
The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.	laptop portability	negative
Its good for playing my apps on Facebook or watching movies.	laptop miscellaneous	positive
Im very happy with this computer!	laptop general	positive
It's solid.	laptop quality	positive
Love the stability of the Mac software and operating system.	os operation performance	positive
Love the stability of the Mac software and operating system.	software operation performance	positive
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.	software general	negative
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.	software price	negative
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.	software usability	negative
It seems to be incompatible with everything else.	software usability	negative
But the machine is awesome and iLife is great and I love Snow Leopard X.	laptop general	positive
But the machine is awesome and iLife is great and I love Snow Leopard X.	os general	positive
But the machine is awesome and iLife is great and I love Snow Leopard X.	software general	positive
i love to use it it is esay and light.	laptop design features	positive
i love to use it it is esay and light.	laptop general	positive
i love to use it it is esay and light.	laptop usability	positive
this laptop is durable and it is easy to travel with.	laptop portability	positive
this laptop is durable and it is easy to travel with.	laptop quality	positive
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.	laptop portability	positive
this laptop is great for work and doing my pictures.	laptop miscellaneous	positive
i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.	laptop operation performance	positive
the programs are esay to use and are quick to process this computer works like a charm.	laptop operation performance	positive
the programs are esay to use and are quick to process this computer works like a charm.	software operation performance	positive
the programs are esay to use and are quick to process this computer works like a charm.	software usability	positive
i can use it for all of my needs.	laptop general	positive
i give this laptop a five star review i love it and it has done chams for me.	laptop general	positive
if this computer every breaks down on me i will most definatly get the same one again.	laptop general	positive
i think that anyone looking for a good durrable laptop then this is the way to go.	laptop general	positive
i think that anyone looking for a good durrable laptop then this is the way to go.	laptop quality	positive
From the second you open the box you will fall in love with this computer!	laptop general	positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.	os operation performance	positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.	os quality	positive
The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!	company general	positive
The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!	mouse design features	positive
The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!	mouse usability	positive
The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!	os usability	positive
Apple continues to shine and provide a much more enjoyable computer experience!	company general	positive
Apple continues to shine and provide a much more enjoyable computer experience!	laptop general	positive
From the start, when you open the box you see a completely different class of machine.	laptop general	positive
The ease in which you set everything up is such that a child could do it.	laptop usability	positive
The screen is bright and clear, the operating system is solid and friendly to a novice.	display quality	positive
The screen is bright and clear, the operating system is solid and friendly to a novice.	os quality	positive
The screen is bright and clear, the operating system is solid and friendly to a novice.	os usability	positive
Fast, fast and fast, the web pages just fly by.	laptop operation performance	positive
I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.	laptop connectivity	positive
I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.	laptop operation performance	positive
I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.	laptop usability	positive
That includes transferring my music and movies.	laptop usability	positive
Good bye BLUE SCREEN and Critical errors!!!!	laptop operation performance	positive
Skype is just so dang cool with this machine too.	software general	positive
If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.	laptop operation performance	positive
If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.	laptop usability	positive
It is light and the battery last a very long time.	battery operation performance	positive
It is light and the battery last a very long time.	laptop design features	positive
Very fast boot up and shut down.	laptop operation performance	positive
Let me tell you, this machine is great.	laptop general	positive
Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.	laptop miscellaneous	positive
I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.	os usability	positive
The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.	laptop operation performance	positive
The only time I have restarted is during system updates.	laptop operation performance	positive
great machine if you want to drop the cash for one.	laptop general	positive
Ok, this is probably the best laptop series ever devised by Apple.	laptop general	positive
The case is carved out of a single block of aluminum.	laptop quality	positive
The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.	cpu operation performance	positive
The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.	graphics design features	positive
The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.	os operation performance	positive
I have recommended this laptop to everyone I know who is buying one.	laptop general	positive
I like it so much, I bought another just for my wife.	laptop general	positive
Took it back as it was defective.	laptop quality	negative
Page just disapeared after you got yahoo or downloaded something.	laptop operation performance	negative
Couldn't keep a page up you were working on!	laptop operation performance	negative
was a great deal i will give that.	laptop price	positive
the laptop preformed pretty well.	laptop operation performance	positive
it cant fuction well with lots of webpages open at once.	laptop operation performance	negative
it has times were it freezes for 10 seconds and then starts again.	laptop operation performance	negative
the mouse on the pad, the left button always sticks.	mouse operation performance	negative
the mouse is way way way to sensitve.	mouse operation performance	negative
i tried turning it done but it did nothing.	mouse operation performance	negative
the mouse jumps around all the time and it clicks stuff i dont want it too.	mouse operation performance	negative
the mouse jumps around all the time and it clicks stuff i dont want it too.	mouse usability	negative
its not bad just VERY VERY annoying.	mouse general	negative
think i would spend little extra to get a better made laptop.	laptop quality	negative
I am very happy with this laptop.	laptop general	positive
For the price and what I get out of it has exceeded my expectations.	laptop general	positive
For the price and what I get out of it has exceeded my expectations.	laptop price	neutral
I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.	laptop operation performance	positive
Amazing Quality!	laptop quality	positive
Plus stylish.	laptop design features	positive
The big screen allows you to enjoy watching movies , pictures and etc!	display design features	positive
The flaws are, this computer is not for computer gamers because of the OS X.	laptop miscellaneous	negative
The flaws are, this computer is not for computer gamers because of the OS X.	os miscellaneous	negative
Mac is not made for gaming.	laptop miscellaneous	negative
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.	software miscellaneous	positive
Second, it gets scratches easily and when it gets old some thing may operated	laptop operation performance	negative
Second, it gets scratches easily and when it gets old some thing may operated	laptop quality	negative
Was not happy with one of the programs on it.	software general	negative
It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.	software miscellaneous	negative
Also, the extended warranty was a problem.	warranty general	negative
The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.	warranty miscellaneous	negative
Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.	display general	positive
Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.	laptop general	positive
Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.	laptop usability	positive
I finally decided on this laptop because it was the right price for what I need it.	laptop general	positive
I finally decided on this laptop because it was the right price for what I need it.	laptop price	positive
I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.	laptop design features	negative
So I'm disappointed in that because communicating with my relatives out of the area is a priority.	laptop design features	negative
I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.	company general	neutral
I bought this eMachines Notebook PC in January of this year and I am highly?dissatisfied with it.	laptop general	negative
The Internet Explorer was very slow from the very beginning.	software operation performance	negative
It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it.	software operation performance	negative
I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.	software operation performance	negative
Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.	software operation performance	negative
This Notebook restarts every time there is a new update, so if you don't save your files and information, everything will be lost.	laptop operation performance	negative
Another issue I have with it is the battery.	battery general	negative
Maybe three or four months ago it started blinking all of the sudden.	battery operation performance	negative
There is a small red circle next to it with a x in the middle, and when I click on it it says: " Consider replacing your battery" and it does not hold full charge.	battery operation performance	negative
There is a small red circle next to it with a x in the middle, and when I click on it it says: " Consider replacing your battery" and it does not hold full charge.	battery quality	negative
It is not even a year old yet, so I would?definitely not recommend it to anyone.	laptop general	negative
It is not even a year old yet, so I would?definitely not recommend it to anyone.	laptop quality	negative
Don't waste your money!	laptop general	negative
The laptop is gorgeous.	laptop general	positive
It is sleek, smooth, and lightweight.	laptop design features	positive
It is sleek, smooth, and lightweight.	laptop operation performance	positive
It is easily portable and I take it everywhere I go and might require internet access.	laptop portability	positive
The screen is very large and crystal clear with amazing colors and resolution.	display design features	positive
The screen is very large and crystal clear with amazing colors and resolution.	display quality	positive
The processor is very quick and effective as I load webpages and applications.	cpu operation performance	positive
It is quiet and a real joy to watch work.	laptop operation performance	positive
It is quiet and a real joy to watch work.	laptop quality	positive
I love it and will probably get another one when this goes to the Laptop in the sky!!	laptop general	positive
Overall this laptop is great.	laptop general	positive
It has plenty of memory, lots of hard drive, and great graphics.	graphics general	positive
It has plenty of memory, lots of hard drive, and great graphics.	hard disc design features	positive
It has plenty of memory, lots of hard drive, and great graphics.	memory design features	positive
It runs very quiet too which is a plus.	laptop quality	positive
The only bad thing about it is they give you the worst batteries possible.	battery general	negative
They only stay charged a little over an hour.	battery operation performance	negative
Laptops are usually used on the go, so why not give you a better battery?	battery general	negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.	cpu miscellaneous	negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.	cpu operation performance	negative
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.	laptop connectivity	negative
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.	laptop design features	negative
It is a cheap throw together.	laptop quality	negative
Save your money and go for a better device.	laptop general	negative
This laptop is a great price and has a sleek look.	laptop design features	positive
This laptop is a great price and has a sleek look.	laptop price	positive
Runs smooth and quick.	laptop operation performance	positive
I wish it had a webcam though, then it would be perfect!	laptop design features	negative
I wish it had a webcam though, then it would be perfect!	laptop general	positive
I Love my new computer!	laptop general	positive
Its fast and another thing I like is that it has three USB ports.	laptop design features	positive
Its fast and another thing I like is that it has three USB ports.	laptop operation performance	positive
I love to write and play with graphics and html programming and my new Toshiba works great on both!	laptop miscellaneous	positive
Thank you for your great product!	company general	positive
Thank you for your great product!	laptop general	positive
Everything about this computer is easy to use.	laptop usability	positive
wonderful features.	laptop design features	positive
The only thing is that the battery won't last more than 1/2 an hour.	battery operation performance	negative
It discharges too quickly.	battery operation performance	negative
Kind of annoying, but I still love the laptop.	laptop general	positive
It has good speed and plenty of hard drive space.	hard disc design features	positive
It has good speed and plenty of hard drive space.	laptop operation performance	positive
The only downfall is the volume control.	multimedia devices general	negative
The wheel that turns the volume up and down doesn't work in real time.	multimedia devices operation performance	negative
I have to keep turning it until it decides to lower and there is no mute.	multimedia devices design features	negative
I have to keep turning it until it decides to lower and there is no mute.	multimedia devices operation performance	negative
I have to keep turning it until it decides to lower and there is no mute.	multimedia devices usability	negative
I bought my macbook a few months ago and it has been my baby ever since.	laptop general	positive
I love it so much.	laptop general	positive
It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.	laptop miscellaneous	positive
The best thing is even while doing almost ten or twenty things at once, it never slows down.	laptop operation performance	positive
It's just as fast with one program open as it is with sixteen open.	laptop operation performance	positive
It works exactly like it did the day I took it out of the box.	laptop operation performance	positive
It works exactly like it did the day I took it out of the box.	laptop quality	positive
GREAT INVESTMENT!	laptop general	positive
The price and features more than met my needs.	laptop design features	positive
The price and features more than met my needs.	laptop price	positive
The feature are good enough for what I need.	laptop design features	positive
I love my macbook pro!	laptop general	positive
My laptop is almost 2yrs old and I have never had any problems with it.	laptop general	positive
If you are a PC user looking to convert I would HIGHLY recommend it!	laptop miscellaneous	positive
It may take a little getting used to but you don't have to worry about viruses or other headaches.	laptop quality	positive
It may take a little getting used to but you don't have to worry about viruses or other headaches.	laptop usability	negative
Not to mention the fact that your mac comes fully loaded with all necessary basic programs.	laptop design features	positive
I am ADDICTED to photo booth!	software general	positive
It is SO much fun to play with.	software general	positive
I work with kids and they love making short videos on there.	software miscellaneous	positive
I am able to organize my pics, music and files easily.	software usability	positive
If you have any creativity in you do yourself a favor and get a mac!	company general	positive
If you have any creativity in you do yourself a favor and get a mac!	laptop general	positive
I love the keyboard.	keyboard general	positive
The display is awesome.	display general	positive
Only thing I would want to add to this is an internal bluray read/write drive.	laptop design features	neutral
But other than that I am blown away by all the features this laptop offers.	laptop design features	positive
I think this computer is super lame.	laptop quality	negative
I dont understand how anyone can think this is a great product worth purchasing.	laptop general	negative
I decided to get this pile of crap on a whim and totally freaking regret it.	laptop quality	negative
It doesnt work worth a damn.	laptop general	negative
The display is beyond horrible.	display general	negative
I can not even read what I am writing half of the time.	display usability	negative
There are so many things wrong with this product, it just makes me want to set my self on fire!	laptop general	negative
I would totally recommend any other laptop over this pile of grabage.	laptop general	negative
Not to mention it has shit gigs.	hard disc design features	negative
I could not even put my entire music collection on this garabage.	hard disc design features	negative
Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.	hard disc design features	negative
I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.	laptop quality	negative
I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.	mouse operation performance	negative
got another 1, and same issue.	laptop quality	negative
I am taking back today.	laptop general	negative
Don't waste your money or time.	laptop general	negative
Very dissappointed becase I have had toshibas for years, and never a issue.	company general	positive
Very dissappointed becase I have had toshibas for years, and never a issue.	laptop general	negative
STOPPED BOOTING UP less than a week after my one-year warranty was up.	laptop operation performance	negative
STOPPED BOOTING UP less than a week after my one-year warranty was up.	laptop quality	negative
Toshiba knows there is a manufacturing defect but will not acknowledge it.	support quality	negative
Apparently there is a manufacturing defect, something with the amount of thermal paste.	laptop quality	negative
TOSHIBA WILL NOT ACKNOWLEDGE THIS PROBLEM.	support quality	negative
When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.	support price	negative
When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.	support quality	negative
I loved the netbook (minus the fact that it was windows OS) until this started happening.	laptop general	negative
I loved the netbook (minus the fact that it was windows OS) until this started happening.	os general	negative
But if you can't make your product last more than a year, you will not get my business again.	company general	negative
But if you can't make your product last more than a year, you will not get my business again.	laptop quality	negative
I've had my MacBook Pro for three years now and still love it!	laptop general	positive
In those three years, I've had a couple of minor problems and both were resolved by Apple quickly and easily.	support quality	positive
My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.	power supply quality	negative
My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.	warranty general	positive
After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.	battery operation performance	negative
After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.	support miscellaneous	positive
In the three years I've had my MacBook Pro, I have never had a virus on my computer, and I do a lot of work on the internet.	laptop quality	positive
The iLife software that comes with the computer is so simple to use and produces a great finished product.	laptop design features	positive
The iLife software that comes with the computer is so simple to use and produces a great finished product.	software usability	positive
I highly recommend this product!	laptop general	positive
Needs constant repair.	laptop quality	negative
First the screen goes completely out.	display operation performance	negative
Then HP sends it back to me with the hardware screwed up, not able to connect.	support quality	negative
Now the screen is going darker, darker, darker.	display operation performance	negative
HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.	support quality	negative
HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.	warranty price	negative
Oh yeah, don't forget the expensive shipping to and from HP.	shipping price	negative
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.	company general	negative
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.	shipping price	negative
So far so good with this laptop.	laptop general	positive
Fan vents to the side, so no cooling pad needed, great feature!	fans cooling design features	positive
Screen is crystal clear and the system is very responsive.	display quality	positive
Screen is crystal clear and the system is very responsive.	laptop operation performance	positive
Memory is upgradable.	laptop usability	positive
The only thing I would change about it is the mouse keys.	mouse general	negative
They click.	mouse quality	negative
sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!	laptop general	positive
sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!	laptop price	positive
sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!	mouse quality	negative
I HATE this one.	laptop general	negative
Vista is a nightmare.	os general	negative
No tutorials on the display.	laptop miscellaneous	negative
The book is useless.	laptop miscellaneous	negative
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.	laptop miscellaneous	negative
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.	laptop usability	negative
Thinking about returning it	laptop general	negative
The Macbook is a fantastic laptop.	laptop general	positive
You will love this macbook if you choose to buy it.	laptop general	positive
The macbook rarely requires a hard reboot.	laptop operation performance	positive
It just works flawlessly!	laptop operation performance	positive
Its hard to encounter a problem on a mac that would require such abrupt action.	laptop general	positive
I honestly love my mac, thats why I am a self proclaimed mac addict.	company general	positive
I honestly love my mac, thats why I am a self proclaimed mac addict.	laptop general	positive
This was purchased for my daughter and I was pleasantly surprised.	laptop general	positive
It had the full sized touch pad with 2 buttons instead of just one.	mouse design features	positive
It made the computer much easier to use and navigate.	laptop usability	positive
Keyboard was also very nice and had a solid feel.	keyboard general	positive
Keyboard was also very nice and had a solid feel.	keyboard quality	positive
This system came loaded with Windows 7 Starter.	os general	neutral
So far, so good.	laptop general	positive
When I got this laptop in 2007 to help me with school, I had a hard time from beginning.	laptop quality	negative
I feel that it was poorly put together, because once in a while different plastic?pieces?would come off of it.	laptop quality	negative
Quite simply this is the best laptop I have ever owned.	laptop general	positive
For me, five stars is not enough.	laptop general	positive
I love the 15" MacBook Pro.	laptop general	positive
My parents bought it for me as a graduation gift, and i'm totally (almost kind of maybe definitely) obsessed with it.	laptop general	positive
It was very easy to just pick up and use--	laptop usability	positive
It did not take long to get used to the Mac OS.	os usability	positive
I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.	display design features	positive
I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.	laptop design features	positive
I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.	laptop portability	positive
There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.	software design features	neutral
The built-in webcam is great for Skype and similar video-chat services.	multimedia devices miscellaneous	positive
iTunes is a handy music-management program, and it is essential for anyone with an iPod.	software miscellaneous	positive
iTunes is a handy music-management program, and it is essential for anyone with an iPod.	software usability	positive
All-in-all, I would definitely recommend this product for nearly everyone.	laptop general	positive
I love it!	laptop general	positive
They definitely have a superior product!	company general	positive
They definitely have a superior product!	laptop general	positive
Its not just slow on the internet, its slow in general.	laptop connectivity	negative
Its not just slow on the internet, its slow in general.	laptop operation performance	negative
No I am generous calling it slow.	laptop operation performance	negative
its more like a snail crawl.	laptop operation performance	negative
he can't stand it.	laptop general	negative
I can't begin to say how disappointed I am.	laptop general	negative
I should have spent an extra hundred bucks and got a full sized computer.	laptop general	negative
the key bindings take a little getting used to, but have loved the Macbook Pro.	keyboard usability	neutral
the key bindings take a little getting used to, but have loved the Macbook Pro.	laptop general	positive
Delivery was early too.	shipping quality	positive
It allows me to do everything I need from a computer and more.	laptop general	positive
With awesome graphics and assuring security, it's perfect!	graphics general	positive
With awesome graphics and assuring security, it's perfect!	laptop general	positive
With awesome graphics and assuring security, it's perfect!	laptop quality	positive
I'd recommend this laptop to anyone!	laptop general	positive
The Toshiba Satellite laptop is DESIGNED to fail !	laptop general	negative
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.	motherboard quality	negative
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.	power supply quality	negative
Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.	support quality	negative
I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.	support quality	negative
Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.	support quality	negative
It has far exceeded my expectations for power, storage, and abilitiy.	hard disc design features	positive
It has far exceeded my expectations for power, storage, and abilitiy.	laptop operation performance	positive
It has far exceeded my expectations for power, storage, and abilitiy.	laptop usability	positive
It is easy to navigate and update programs.	laptop usability	positive
I've never had problems with viruses.	laptop quality	positive
My next laptop will also be a Mac!	company general	positive
I would like to tell you about the best laptop I just got from Mac.	laptop general	positive
My mac laptop is fabulous in both areas.	laptop operation performance	positive
My mac laptop is fabulous in both areas.	memory design features	positive
It gives me the power and speed that I need to run all the programs I use to edit.	laptop operation performance	positive
The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.	laptop usability	positive
The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.	software operation performance	positive
The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.	software usability	positive
I would buy one of these for every person in my office if I could.	laptop general	positive
In my line of work, I often have to take work home, and this makes it so easy.	laptop usability	positive
I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.	keyboard design features	positive
I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.	keyboard usability	positive
The apple care has never failed me, and I expect it to be the same for this computer as well.	support general	positive
I will only buy apple laptops from now on.	company general	positive
Great laptop for school, easy to use for beginners in the household.	laptop miscellaneous	positive
Great laptop for school, easy to use for beginners in the household.	laptop usability	positive
Keyboard is great but primary and secondary control buttons could be more durable.	keyboard general	positive
Keyboard is great but primary and secondary control buttons could be more durable.	keyboard quality	negative
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!	battery operation performance	negative
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!	company general	neutral
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!	laptop general	positive
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!	laptop price	neutral
My MacBook Pro has been a huge disappointment.	laptop general	negative
From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.	laptop operation performance	negative
From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.	laptop quality	negative
The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.	battery operation performance	negative
The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.	laptop quality	negative
The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.	software operation performance	negative
